5.275	4.893	1
5.339	4.476	1
4.887	4.234	2
5.895	4.843	1
4.429	4.915	2
4.879	4.734	2
5.337	5.165	0
4.187	5.664	3
4.788	5.496	3
5.075	5.229	3
5.045	4.578	1
5.57	6.004	0
5.509	4.815	1
5.268	4.846	1
5.656	5.195	0
5.657	5.809	0
4.824	4.729	2
4.874	5.452	3
5.436	5.806	0
5.133	5.026	1
4.886	5.495	3
4.63	5.08	3
5.1	4.752	1
5.697	4.903	1
4.631	5.321	3
5.057	4.862	1
4.747	5.226	3
4.696	5.257	3
4.776	5.266	3
4.504	4.285	2
5.026	5.602	3
5.217	4.867	1
4.564	4.665	2
5.391	5.244	0
5.569	5.303	0
4.809	5.561	3
4.848	4.87	2
5.327	4.638	1
5.303	4.869	1
5.098	4.229	1
4.838	4.898	2
4.578	5.025	2
4.926	5.176	3
5.563	4.896	1
4.829	4.995	2
4.894	4.799	2
4.77	5.202	3
4.88	4.922	2
5.515	4.189	1
4.228	5.277	3
4.617	4.866	2
4.451	4.679	2
4.941	5.8	3
4.675	4.471	2
4.597	5.106	3
4.94	5.319	3
5.39	4.716	1
5.066	5.162	3
4.583	5.275	3
4.672	5.038	3
5.196	4.65	1
5.27	5.597	0
5.296	5.221	0
5.593	5.661	0
4.508	5.024	2
5.206	5.383	0
4.827	5.033	3
3.957	5.346	3
4.981	5.307	3
6.013	5.096	0
4.946	4.081	2
5.409	4.841	1
5.427	4.717	1
5.471	4.748	1
4.875	5.103	3
5.433	5.33	0
4.664	4.792	2
5.474	5.464	0
5.272	4.954	1
4.984	5.417	3
4.468	5.027	2
5.288	4.782	1
5.068	5.474	3
5.476	5.492	0
4.668	5.422	3
4.871	5.186	3
4.317	5.262	3
4.264	4.189	2
5.538	5.058	0
5.631	4.427	1
5.733	4.403	1
4.488	4.877	2
4.912	4.679	2
5.4	5.264	0
4.733	4.691	2
5.299	5.611	0
5.075	4.574	1
6.149	4.746	1
5.101	4.838	1
4.115	5.301	3
